smile id
c1ccc2cc(ccc2c1)NC(=O)C(=O)N3CCCc4ccccc4C3 ZINC000730397246
c1ccc-2c(c1)Cc3c2ccc(c3)NC(=O)N4CCC[C@H](C4)C(=O)N ZINC000283657137
C[C@@H]1C[C@@H](CN1C(=O)c2cc(cc(c2)O)c3n[n-]nn3)c4ccccc4 ZINC001590215261
Cc1ccc2c(c1)CC[C@@H]2NC(=O)N3CCC(CC3)[C@@H]4C(C(=O)N4)(C)C ZINC000636634696
Cc1ccc2c(c1)CN(CC2)C(=O)c3cc(nc4c3cccc4)C ZINC001437462842
Cc1ccc2c(c1)CC[C@H]2NC(=O)N3CCC(CC3)[C@@H]4C(C(=O)N4)(C)C ZINC000636634694
C[C@H]1C[C@@H](CC(C1)NC(=O)N2Cc3ccc(cc3C2)c4n[n-]nn4)C ZINC001590189256
c1cc2c(cc1NC(=O)c3cc(c[nH]3)c4n[n-]nn4)CCNC2=O ZINC001582642369
c1ccc(cc1)c2ccc(cc2)NC(=O)N3CC[C@@H]4[C@@H](C3)CCC(=O)N4 ZINC000664367835
c1ccc2c(c1)[C@@H](CC23CC[NH2+]CC3)[NH2+][C@@H]4CCc5c(cccc5F)C4 ZINC001246255708
CC(C)c1ccc2cc([nH]c2c1)C(=O)Nc3ccc(cc3)c4n[n-]nn4 ZINC000729356452
Cc1ccc2c(c1)[C@@H](CC2)NC(=O)N3CCC(CC3)[C@H]4C(C(=O)N4)(C)C ZINC000636744024
c1ccc(cc1)C(=O)O[C@@H]2CCC(=CC2)c3ccc4c(c3)NC(=O)C45CC5 ZINC001244808546
Cc1ccc2c(c1)[nH]cc2CC(=O)NC[C@@H]3CCN(C3)c4ccccc4 ZINC000726158728
Cc1ccc2c(c1)[C@@H](CC2)NC(=O)C(=O)N3CC[C@@H]4COC(=O)N[C@H]4C3 ZINC000834714763
Cc1ncc2c(n1)CC[C@H](C2)NC(=O)[C@@H](Cc3c[nH]c4c3cccc4)[NH3+] ZINC000884067805
Cn1c2ccc(cc2ccc1=O)C3=CC[C@@H](CC3)OC(=O)c4ccccc4 ZINC001244803988
Cc1ccc2c(c1)[nH]c(n2)[C@@H]3CCCN(C3)C(=O)C[C@H]4CCC(=O)NC4 ZINC001597097096
Cc1cc(ccc1CC(=O)N2Cc3cccc(c3C2)c4n[n-]nn4)O ZINC001581040141
